,countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
255,ALB,Albania,Lek,1995,12203.2392578125,13669.630859375,3.112936,1.0204652547836304,,2.5140318870544434,13499.8642578125,14492.728515625,11590.783203125,12922.333984375,59727.8515625,,,,13572.9453125,13756.8251953125,15569.5166015625,108661.515625,,,,,,0.026813363656401634,92.69749999999999,0.1843983680009842,0.2064368575811386,0.18516506254673004,Extrapolated,Benchmark,Market-based,Regular,,,,0.8370290398597717,0.07683323323726654,0.207663431763649,0.0347440280020237,-0.13372854888439178,-0.02254117652773857,0.19995926320552826,0.5060917735099792,0.12167704105377197,0.47937530279159546,0.440001517534256,0.20881012082099915,
256,ALB,Albania,Lek,1996,13703.08203125,15067.375,3.0987,0.9819660782814026,,2.5811893939971924,15345.8603515625,16637.505859375,13002.279296875,14240.4091796875,60936.0390625,,,,14808.318359375,15538.36328125,18007.45703125,110854.2421875,,,,,,0.026778385043144226,104.49891666666667,0.23740988969802856,0.24608317017555237,0.22468750178813934,Benchmark,Benchmark,Market-based,Regular,,0.13615908988605033,,0.8607513308525085,0.09070277214050293,0.21687643229961395,0.03100316785275936,-0.14706958830356598,-0.052264146506786346,0.2728012204170227,0.34912925958633423,0.0969468429684639,0.478236585855484,0.44810575246810913,0.23524445295333862,
257,ALB,Albania,Lek,1997,12602.615234375,14072.3095703125,3.099752,0.9685876965522766,,2.6345043182373047,14975.7548828125,15929.513671875,11999.8955078125,13343.0517578125,61219.609375,,,,13203.4150390625,13899.19140625,15654.4208984375,111118.96875,,,,,,0.026682406663894653,148.93291666666667,0.1718520224094391,0.1853894740343094,0.16672752797603607,Interpolated,Benchmark,Market-based,Regular,,,,0.7537410259246826,0.07147981226444244,0.3686225414276123,0.022520629689097404,-0.10975661128759384,-0.10660737007856369,0.2328346222639084,0.39795204997062683,0.047157831490039825,0.45818233489990234,0.42951956391334534,0.2507608234882355,
258,ALB,Albania,Lek,1998,13972.2587890625,15531.7041015625,3.1106819999999997,0.9559419751167297,,2.688920259475708,16665.650390625,17860.787109375,13326.3232421875,14821.4599609375,62256.1171875,,,,14369.1904296875,14836.3779296875,16976.705078125,111619.625,,,,,,0.02653208188712597,150.63333333333333,0.17191475629806519,0.19171595573425293,0.1723763346672058,Interpolated,Benchmark,Market-based,Regular,,,,0.6897594928741455,0.08063554763793945,0.43466758728027344,0.0335969477891922,-0.14639385044574738,-0.09226569533348083,0.2534683048725128,0.4678349494934082,0.042500145733356476,0.4170125126838684,0.3877166211605072,0.2813801169395447,
259,ALB,Albania,Lek,1999,15023.248046875,16525.3984375,3.122697,0.9494656920433044,,2.744460105895996,16551.84765625,18177.693359375,14458.3564453125,15896.900390625,62443.046875,,,,16221.4814453125,15326.2099609375,18209.03515625,113134.078125,,,,,,0.026610126718878746,137.69058333333334,0.197408527135849,0.2228240966796875,0.20266027748584747,Interpolated,Benchmark,Market-based,Regular,,,60.0,0.6592446565628052,0.10227442532777786,0.38195502758026123,0.053523726761341095,-0.18908126652240753,-0.007916554808616638,0.27977338433265686,0.48156604170799255,0.05524887144565582,0.4126380980014801,0.3840404748916626,0.2982384264469147,
260,ALB,Albania,Lek,2000,15180.880859375,16633.271484375,3.1292429999999998,0.9629674553871155,,2.8011474609375,15910.9384765625,18276.212890625,14699.30859375,15942.625,64886.5078125,,,,17348.265625,15610.421875,19713.9609375,116278.5859375,,,,,,0.026791879907250404,143.70941666666667,0.20259520411491394,0.23726192116737366,0.21875858306884766,Interpolated,Benchmark,Market-based,Regular,,,,0.6679871082305908,0.1483617126941681,0.3300253450870514,0.038922738283872604,-0.17936980724334717,-0.005927115213125944,0.27094751596450806,0.4704611003398895,0.06424681842327118,0.42137449979782104,0.38098272681236267,0.31985601782798767,
261,ALB,Albania,Lek,2001,15890.3125,17293.77734375,3.129704,0.9811862707138062,,2.815089702606201,16324.703125,19475.0234375,15509.9306640625,16646.404296875,67135.78125,,,,18787.0078125,16332.1044921875,21547.732421875,120677.875,,,,,,0.027009345591068268,143.48483333333334,0.2136927843093872,0.25318536162376404,0.23590005934238434,Interpolated,Benchmark,Market-based,Regular,,,,0.6617808938026428,0.18924924731254578,0.31889358162879944,0.04455115646123886,-0.22002559900283813,0.005550722125917673,0.278787761926651,0.4578327536582947,0.0786050409078598,0.41117027401924133,0.36329883337020874,0.33767297863960266,
262,ALB,Albania,Lek,2002,16402.62890625,17619.767578125,3.126187,0.9891093373298645,,2.8291015625,16887.912109375,20525.4296875,16107.8154296875,17106.9140625,69969.4765625,,,,19639.29296875,17465.900390625,22933.15234375,125315.671875,,,,,,0.027103813365101814,140.15451587500002,0.23566828668117523,0.2704194188117981,0.2546260356903076,Interpolated,Benchmark,Market-based,Regular,,,,0.6860929727554321,0.2126343846321106,0.3011050522327423,0.045323822647333145,-0.24029722809791565,-0.004858951084315777,0.2970283627510071,0.4317585229873657,0.095854252576828,0.4259253144264221,0.365793913602829,0.34688013792037964,
263,ALB,Albania,Lek,2003,17446.412109375,18275.126953125,3.118023,1.0022214651107788,,2.8431832790374756,17748.1875,21963.845703125,17250.515625,17991.369140625,73819.2734375,,,,20725.078125,19029.521484375,24916.873046875,130429.515625,,,,,,0.027135523036122322,121.86325,0.2864958643913269,0.3223938047885895,0.3091181814670563,Interpolated,Benchmark,Market-based,Regular,,,,0.7153279781341553,0.2343156337738037,0.2711554765701294,0.0533423013985157,-0.2557216286659241,-0.018419722095131874,0.34713608026504517,0.47352638840675354,0.126522496342659,0.46599987149238586,0.4052199721336365,0.4048897325992584,
264,ALB,Albania,Lek,2004,18536.96875,18750.12109375,3.104892,1.0112946033477783,,2.857334852218628,18100.65234375,23209.44921875,18389.3984375,18591.658203125,78298.453125,,,,21868.0234375,19747.029296875,26422.40625,136398.25,,,,,,0.027177022770047188,102.78005119617225,0.3505726754665375,0.3902808725833893,0.3860350251197815,Interpolated,Benchmark,Market-based,Regular,,,76.6666666666667,0.7135186791419983,0.2747897505760193,0.2600712776184082,0.06532780826091766,-0.28811779618263245,-0.0255897156894207,0.41772618889808655,0.530968427658081,0.1663336157798767,0.49619388580322266,0.4294092655181885,0.4869482219219208,
